Date,Startup,type,SubVertical,city,Investors Name,investment type,Amount cr
2016-06-01,JUSTDAKHILA,Education,School Student admissions platform,New Delhi,Ankur Gupta,Seed Funding,10.5
2016-07-01,PITSTOP,Consumer Internet,Automobile Service Booking App,Bangalore,Myntra/LivSpace Founders,Seed Funding,0.0
2016-07-01,BIKXIE,Consumer Internet,Two Wheeler Taxi Service,Gurgaon,Undisclosed Investors,Seed Funding,0.0
2016-07-01,INFURNIA,Consumer Internet,Online Furniture Customization platform,Bangalore,Idein Ventures,Seed Funding,2.24
2016-07-01,MYLY,Education,Mobile Based Education platform,Jaipur,Newbie Promoter Pvt Ltd,Seed Funding,1.4
2016-07-01,MAKEMYTRIP,Consumer Internet,Online Travel/Hotel Booking platform,Gurgaon,Ctrip.com International Ltd,Private Equity,2520.0
2016-08-01,MELORRA,ECommerce,Online/ Mobile Jewellery Retailer,Bangalore,Lightbox Ventures,Private Equity,70.0
2016-08-01,CONFIRMTKT,Consumer Internet,Train PNR Status Prediction Platform,Bangalore,"Krishna Jhujhunwala, Dr. Apoorv Ranjan Sharma, Anirudh Damani, Anand Ladsariya, Sanjay Mehta & Others",Seed Funding,3.5
2016-08-01,GYAANZONE,Education,Career Planning and Education Advisory Platform,Mumbai,GBIM Technologies Pvt Ltd,Seed Funding,0.63
2016-08-01,FLATFURNISH,Consumer Internet,Online Furnishing Rental Platform,Gurgaon,Arun Chandra Mohan,Seed Funding,0.0
2016-09-01,LUMIERE,ECommerce,Organic Food eTailer,Bangalore,Undisclosed investors,Private Equity,0.0
2016-11-01,KOOVS,ECommerce,Online Fashion Apparel Retailer,Gurgaon,"Nahata Family, Waheed Alli",Private Equity,75.6
2016-11-01,WISHUP,Consumer Internet,Mobile app based Concierge Service,New Delhi,"500 Startups, Mato Peric, TracxnLabs",Seed Funding,0.0
2016-11-01,FRESHMENU,Consumer Internet,Online / Mobile Food Ordering platform,Bangalore,"Zodius Capital, Lightspeed Venture Partners",Private Equity,231.0
2016-11-01,SAVVYMOB,ECommerce,Last Minute Hotel Bookings mobile marketplace,Bangalore,"TV Mohandas Pai, LetsVenture",Seed Funding,14.0
2016-11-01,FASHIONABLYIN,Consumer Internet,Mobile based Geo-target Fashion Marketplace,Mumbai,Ranjan Mahtani,Seed Funding,0.0
2016-12-01,SHOPCLUES,ECommerce,ECommerce Marketplace,Gurgaon,"GIC, Tiger Global Management, Nexus Venture Partners",Private Equity,1400.0
2016-12-01,HIKE MESSENGER,Consumer Internet,P2P Messaging Service,New Delhi,"Matt Mullenweg, Adam D\\xe2\\x80\\x99Angelo, Aditya Agarwal,\\xc2\\xa0 Ruchi Sanghvi & Others",Private Equity,0.0
2016-12-01,IBUS NETWORKS,Technology,Next Generation in-building connectivity,Bangalore,"Vallabh Bhanshali, N Squared Management LLC, Jagdish & Sandeep Mehta Family Office",Private Equity,32.2
2016-12-01,HAPPY2REFER,Consumer Internet,Mobile based Referral Platform,Mumbai,"Equity Crest, Vinners, Sparknext",Seed Funding,3.5
,CARTRADE,Consumer Internet,Auto Classifieds Portal,Mumbai,"Temasek Holdings, March Capital, Warburg Pincus",Private Equity,2030.0
,RENTOMO,Consumer Internet,peer-to-peer renting Marketplace,Bangalore,Shiva Ashok & Other unnamed investors,Seed Funding,1.4
,RODER,Consumer Internet,inter-city cab aggregator,New Delhi,Unicorn India Ventures,Seed Funding,3.36
,BUCKER,Consumer Internet,Food Ordering Mobile App,Hyderabad,"50k Ventures, Munish Jauhar, Pulkit Jain, Rohit Narang",Seed Funding,0.0
,CARE24,Healthcare,Professional Health Services Platform,Mumbai,"SAIF Partners, India Quotient",Private Equity,56.0
,OBINO,Healthcare,Weigh Loss Coaching,Mumbai,RoundGlass Partners,Private Equity,0.0
,SNAPSHOPR,Consumer Internet,Visual Search & Image Recognition Platform,Bangalore,Amod Malviya,Seed Funding,0.0
,BUILDKAR,ECommerce,Construction Material Marketplace,Bangalore,"Mustafa Wajid, Umang Kumar & Others",Seed Funding,0.0
,ORAHI,Consumer Internet,Carpooling Mobile App,Gurgaon,Indian Angel Network,Seed Funding,7.28
,ZAPR,Technology,TV to Mobile audience Platform,Gurgaon,"Flipkart, Saavn, Micromax, Dhiraj Rajaram, Ambiga Dhiraj, Dinesh Agarwal, Samir Bangara, Sanjay Nath, Arihant Patni",Seed Funding,0.0
,REMIDIO,Healthcare,Healthcare Product Manufacturer,Bangalore,Cipher-Plexus Capital Advisors & Indian HNIs,Private Equity,0.0
,FITSO,Consumer Internet,Fitness related Social Networking App & Forum,Gurgaon,"Varun Khurana, Samar Singla, Vinay Bansal,",Seed Funding,2.8
,EVIBE.IN,Consumer Internet,Party Hall Booking platform,Bangalore,"Hyderabad Angels, Lalit Mangal,\\xc2\\xa0 Vikas Malpani, Gaurav Bhalotia, LV Prasad",Seed Funding,0.0
,ZOCTR,Consumer Internet,healthcare aggregator platform,Mumbai,Times Group,Seed Funding,0.0
,JOBICK,Consumer Internet,Mobile app based Job Search,Noida,Abhinav Mathur,Seed Funding,0.0
,PLICK,Consumer Internet,Instant Content Transfer Mobile App,Mumbai,Sanjay Mehta,Seed Funding,0.0
,VOICE FRIENDS,Consumer Internet,Dating & Singles Chat Platform,Mumbai,Huzaifa Khorakiwala,Seed Funding,0.0
,KARTROCKET,Consumer Internet,SAAS DIY\\xc2\\xa0 ECommerce Platform,New Delhi,"Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding, 500 Startups",Private Equity,84.0
,SWIGGY,Consumer Internet,Online/Mobile food ordering platform,Bangalore,"Harmony Partners, RB Investments & existing investors",Private Equity,490.0
,TINYSTEP,Consumer Internet,Parenting Social Network,Bangalore,Flipkart,Seed Funding,0.0
,CASHKARO,Consumer Internet,Coupon & Cashback platform,Gurgaon,Ratan Tata,Private Equity,0.0
,GAMEEZOP,Consumer Internet,Casual Gaming platform,New Delhi,Anand Chandrasekaran & Others,Seed Funding,0.0
,DAILYOBJECTS,ECommerce,Mobile Accessories etailer,New Delhi,"Unilazer Fund,\\xc2\\xa0 Phanindra Sama, Peyush Bansal",Private Equity,19.6
,INDUS OS,Technology,Local language Mobile OS,Mumbai,"Omidyar Network,",Private Equity,70.0
,COLLEGEDUNIA,Consumer Internet,Educational College Search platform,New Delhi,Umang Kumar,Seed Funding,6.23
,VILLGRO,Finance,Social Business Incubator & Fund,Chennai,"Lemelson Foundation, Michael and Susan Dell Foundation",Private Equity,49.0
,REDDOORZ,Consumer Internet,Budget Accomodation Aggregator,New Delhi,500 Startups,Private Equity,0.0
,INDUSTRYBUYING,ECommerce,B2B Industrial Goods Marketplace,New Delhi,Trifecta Capital,Private Equity,25.2
,JUST BUY LIVE,ECommerce,B2B Marketplace for Distributors,Mumbai,Alpha Capital,Private Equity,280.0
,IMBESHARAM,ECommerce,Adult Products Etailers,New Delhi / US,Undisclosed US Based Investors,Private Equity,56.0
,MOODOO,Consumer Internet,Social Meeting organizer App,Mumbai / UK,Sa\\xc3\\xafd Business School Seed Fund.,Seed Funding,0.56
,SARAL DESIGNS,Healthcare,Women Hygiene Product Manufacturer,Mumbai,"Farooq Adam, Ambi Parameswaran,",Seed Funding,0.0
,FIRSTCRY,ECommerce,Kids Focused eTailer,Pune,Ratan Tata,Private Equity,0.0
,FISDOM,Consumer Internet,Personal Finance Mobile App,Bangalore,Rob Chandra,Seed Funding,7.0
,EASYPOLICY,Consumer Internet,Online insurance policy aggregator,Noida,Unilazer Ventures,Private Equity,30.8
,HOUSING,Consumer Internet,Online Real Estate Portal,Mumbai,SoftBank Corp,Private Equity,210.0
,CREO,Technology,Smartphone OS Developer,Bangalore,"Sequoia Capital, Beenext Ventures, India Quotient, Anand Chandrasekaran",Private Equity,42.0
,SHABDANAGARI,Consumer Internet,Hindi Language Social Networking Portal,Kanpur,Kanpur Angels & Others,Seed Funding,2.8
,LITTLE,Consumer Internet,Deal Discovery App,Bangalore,GIC,Private Equity,0.0
,SNAPBIZZ,ECommerce,Mobile based Retail Market Ecosystem,Bangalore,"Jungle Ventures, Taurus Value Creation, Konly Venture, Blume Ventures",Private Equity,100.8
,QLIVERY,Consumer Internet,on-demand concierge services,Gurgaon,Chandigarh Angels Funding,Seed Funding,0.0
,PLEXUSMD,Consumer Internet,Social Network for Healthcare Professionals,Ahmedabad,"Arihant Patni, Avnish Mehra, Pranay Adhvaryu, Ravi Sampat",Seed Funding,0.0
,SILVAN,Technology,Home Automation & Security Solutions,Bangalore,The Chennai Angels,Seed Funding,7.21
,EPS,Technology,Electronic Payments Solution Company,Mumbai,APIS Partners,Private Equity,490.0
,QUBOLE,Technology,Enterprise Cloud Based Data Processing,Bangalore,"Institutional Venture Partners, Norwest Venture Partners, Lightspeed Venture Partners, CRV",Private Equity,420.0
,GAJTY,Healthcare,Salons & Spa Chain,Gurgaon,Purvi Ventures,Seed Funding,0.0
,SIFTR LABS,Consumer Internet,Photography curation & Aggregator platform,Mumbai,Venture Catalysts,Seed Funding,2.1
,POWER2SME,Consumer Internet,SME Online Buying Hub,Gurgaon,"Nandan Nilekani, Accel Partners, Kalaari Capital and Inventus Capital",Private Equity,294.0
,SKYCANDLE,ECommerce,Home D\\xc3\\xa9cor Product etailer,New Delhi,GPA group,Private Equity,0.0
,TEABOX,ECommerce,Specialty Tea ETailer,Siliguri,Ratan Tata,Private Equity,0.0
,BUILDZAR,ECommerce,Construction Material ETailer,Gurgaon,Puneet Dalmia,Private Equity,56.0
,APPLICATE,Technology,"Sales, Market, Distribution & Data Analytics Platform",Bangalore,Undisclosed investors,Seed Funding,14.0
,WHATSONRENT,ECommerce,Online Rental Marketplace,Bangalore,Lalit Mangal & Others,Seed Funding,0.0
,ZEBI (YET TO LAUNCH),Technology,Data Intelligence & Analytics,Hyderabad,Un disclosed investors,Seed Funding,14.0
,TRUCE,FMCG,Vegetables & Fruits Supply Chain,Mumbai,"Anupam Mittal, Amit Gupta, Utsav Somani, Neeraj Goenka, Farooq Adam Mukadam",Seed Funding,5.18
,JUSTDOC,Consumer Interne,Medical Video Consultation platform,Bangalore,"TV Mohandas Pai, Mohit Saxena, Raghunandan G, Singapore Angel Network, TracxnLabs",Seed Funding,0.0
,MYEGLU,Technology,Connected Smart Home Solutions,Bangalore,Foxconn Technology Group & Others,Seed Funding,0.0
,BITGIVING,Consumer Internet,Crowd Funding Platform,New Delhi,"Harminder Sahni, Krishna Mehra, Sanjay Bakshi",Seed Funding,0.0
,QRIYO,Consumer Internet,Online Fitness & Educational information Aggregator,Jodhpur,Idein Ventures,Seed Funding,2.24
,N.O.W,Consumer Internet,Rental Bike Aggregator App,Noida,Maple Capital Advisors,Seed Funding,0.0
,AISLE,Consumer Internet,Indians focused Matchmaking App,Bangalore,"TermSheet, ah! Ventures",Seed Funding,2.59
,FRESHMENU,Consumer Internet,Fresh Food Delivery platform,Bangalore,"Zodius Technology Fund, Lightspeed Venture Partners",Private Equity,238.0
,TRUEBIL,ECommerce,Online marketplace for cars,Mumbai,"Kalaari Capital, Inventus Capital, Tekton Ventures, Kae Capital",Private Equity,72.1
,RARE MEDIA,Technology,Mobile & Cloud based App developer,New Delhi,Info Edge (India) Ltd,Private Equity,15.4
,TINMEN,Consumer Internet,Food Delivery Platform,Hyderabad,Lead Angel Network,Seed Funding,0.0
,CODINGLABS,Technology,Coding Skill Showcase & Resume Builder,Hyderabad,Vineet Nalla,Seed Funding,0.0
,FINDURCLASS,Consumer Internet,Hobby & Activity Class Aggregator,Mumbai,"Amit Patni, Anirudh Damani, Samir Shah",Seed Funding,0.0
,DESIGNBIDS,Consumer Internet,Interior Design Marketplace,New Delhi,Indian Angel Network,Seed Funding,0.0
2015-01-12,COLLEGEDEKHO,Online Education Information platform,Unknown,Jaipur,GirnarSoft,Seed Funding,14.0
2015-01-12,BLACK WHITE ORANGE BRANDS,Brand Licensing Startup,Unknown,Mumbai,YouWeCan Ventures,Seed Funding,0.0
2015-01-12,BITECLUB,Gourmet Food Discovery & Delivery platform,Unknown,Gurgaon,growX ventures,Private Equity,0.0
2015-01-12,PATEL LOGISTICS,Transportation & Logistics Platform,Unknown,Mumbai,Frontline Strategy,Private Equity,78.4
2015-01-12,WIGZO,Enterprise Marketing Automation platform,Unknown,New Delhi,"Aarin Capital Partners, TV Mohandas Pai",Seed Funding,7.0
2015-01-12,GODOF HOSPITALS,Digital Healthcare,Unknown,New Delhi,Pankaj Gupta,Seed Funding,28.0
2015-02-12,ROOMSTONITE,Last Minute Hotel Booking App,Unknown,Bangalore,"Lashit Sanghvi, Nikhil Vora, Venkat Vardhan,Mohammed Bin Abdul Rehman Al Khalifa,\\xc2\\xa0 Ralph Berezan, Vissal Mathew,\\xc2\\xa0 Balamurali Krishna",Seed Funding,21.0
2015-02-12,KAARYAH,Womens Fashion Wear Portal,Unknown,New Delhi,"The Saha Fund, TV Mohandas Pai",Private Equity,0.0
2015-03-12,ANAKAGE,Product Learning platform,Unknown,Bangalore,CIO Angel Network (CAN),Seed Funding,0.0
2015-03-12,EASYKHAANA,Online Food ordering & Delivery platform,Unknown,New Delhi,Undisclosed investors,Seed Funding,1.4
2015-03-12,SHUTTL,App based Bus Pooling Services,Unknown,Gurgaon,"Sequoia Capital, Times Internet Ltd & One more Fund",Private Equity,280.0
2015-03-12,ECKOVATION,Social Learning Platform,Unknown,New Delhi,Chandigarh Angel Network (CAN),Seed Funding,0.0
2015-03-12,FITCIRCLE,Social Fitness platform,Unknown,Mumbai,Beerud Sheth and Ravi Mantha,Seed Funding,0.0
2015-04-12,APPLOP,On Demand Mobile app developer,Unknown,Kolkata,GHV Accelerator,Seed Funding,1.4
2015-04-12,CARPM,Car Maintenance & Management mobile app,Unknown,Gurgaon,GHV Accelerator,Seed Funding,1.4
2015-04-12,NDTV WEDDING PORTAL,Online Wedding Marketplace,Unknown,New Delhi,CerraCap,Private Equity,280.0
2015-04-12,SPLITKART,Splitting Bills Mobile App,Unknown,New Delhi,"Rajesh Sawhney, Anupam Mittal, Dinesh Agarwal, Gaurav Gupta,",Seed Funding,0.0
2015-07-12,ZENATIX,IOT Energy Management Analytics platform,Unknown,Gurgaon,Blume Ventures,Private Equity,0.0
2015-07-12,CUSTOMFURNISH,Custom Made furniture e-tailer,Unknown,Hyderabad,Agnus Capital,Private Equity,63.0
2015-07-12,FAASOS,QSR Chain,Unknown,Pune,"ru-Net, Sequoia Capital,\\xc2\\xa0 Lightbox Ventures",Private Equity,420.0
2015-07-12,VLURN,eLearning platform,Unknown,Mumbai,Vidyadhar Sarfare,Seed Funding,0.0
2015-07-12,LEAF WEARABLES,Smart Safety Wearable Devices,Unknown,New Delhi,"Ajeet Khurana Jinesh Shah, Vikram Chachra, Dr. Aniruddha Malpani",Seed Funding,3.5
2015-07-12,COOLSHARE,Cab Sharing service Mobile app,Unknown,Mumbai,Gopal Aggarwal,Seed Funding,1.4
2015-08-12,MFICIENT,Cloud Enterprise Mobility Platform,Unknown,New Delhi,Undisclosed investors,Seed Funding,0.0
2015-08-12,HEYBIZ,Online Shopping Assistant Mobile app,Unknown,New Delhi,Shopclues,Seed Funding,0.0
2015-08-12,YUMIST,Home Cooked Food Order & Delivery platform,Unknown,Gurgaon,"Unilazer Ventures, Orios Venture Partners, Steven Lurie",Private Equity,28.0
2015-09-12,JIGSAW ACADEMY,Online School for Analytics learning,Unknown,Bangalore,Manipal Global Education Services,Private Equity,42.0
2015-09-12,JOEHUKUM,Chat based personal Assistant App,Unknown,Gurgaon,"TracxnLabs, Jitendra Gupta, Prashant Tandon",Seed Funding,0.0
2015-09-12,VOXWEB,Picture creation & Social mobile app,Unknown,Mumbai,Undisclosed Investor,Seed Funding,4.9
2015-09-12,AYE FINANCE,Nonbanking finance company,Unknown,New Delhi,"SAIF Partners, Accion",Private Equity,42.0
2015-09-12,JUMBOBASKET,eCommerce returns etailer,Unknown,Chandigarh,Chandigarh Angels Network,Seed Funding,0.0
2015-10-12,BLACKBUCK,Online Freight Services Aggregator,Unknown,Bangalore,"Tiger Global Management, Yuri Milner, Apoletto, Accel Partners, Flipkart",Private Equity,350.0
2015-10-12,HOMESTUDIO,Online Branded Furniture etailer,Unknown,Bangalore,Bren Corporation,Private Equity,70.0
2015-10-12,PROPHESEE,Digital Analytics Platform,Unknown,New Delhi,"Indian Angel Network, Stanford Angels, Entrepreneurs India",Seed Funding,7.0
2015-10-12,I2E1,Internet Network Infrastructure Services,Unknown,New Delhi,GrowX Ventures,Seed Funding,7.0
2015-10-12,HOLISOL LOGISTICS,Supply Chain & Logistics Solutions,Unknown,New Delhi,CLSA Capital Partners ARIA IV Funds,Private Equity,140.0
2015-10-12,STAY SIMPLE RESORTS,Holiday Resort Chain,Unknown,Bangalore,"Mr. Sudhir & Ms. Shalini Sethi, Mr. Praveen Someshwar",Seed Funding,0.0
2015-10-12,PAYNEAR,Mobile Point of Sale solutions,Unknown,Hyderabad,Mitesh Majithia,Private Equity,35.0
2015-10-12,CHILLR,Peer-to-Peer Money Transfer & Recharge App,Unknown,Mumbai,"Sequoia Capital, Blume Ventures, Uniqorn Ventures and other",Private Equity,980.0
2015-11-12,EUREQA,Test Automation SAAS platform,Unknown,Hyderabad/USA,"Sashi Reddi, Gabriel Investments",Seed Funding,8.4
2015-11-12,LOCALCIRCLES,Citizens Engagement Platform,Unknown,Noida,Anand Mahindra,Private Equity,0.0
2015-11-12,GETFOCUS,Indoor Navigation & Analytics Solutions,Unknown,Mumbai,Undisclosed investors,Seed Funding,0.0
2015-11-12,URBANCLAP,Hyperlocal On-Demand Household Services platform,Unknown,Gurgaon,Ratan Tata,Private Equity,0.0
2015-11-12,ONLINERTI,Online RTI application services,Unknown,Bangalore,"LetsVenture, Mohandas Pai",Seed Funding,2.1
2015-11-12,POWERSTORES,ECommerce Website Creation SAAS platform,Unknown,Goa,Extreme Venture Partners\\xc2\\xa0 William Bissell,Seed Funding,0.0
2015-11-12,WEDDINGZ.IN,Wedding Venues & Vendors Marketplace,Unknown,Mumbai,"Rajan Anandan, Zoya Akhtar, Reema Kagati, Ruchi Narain, Amrish Kumar, Hrishikesh Parandekar",Seed Funding,14.0
2015-11-12,INTELLIGENT INTERFACES,Interface development platform for Government officials,Unknown,Bangalore,"Sachin Bansal, Binny Bansal",Seed Funding,0.0
,CAPRICOAST,Modular Furnishings Marketplace,Unknown,Bangalore,"Accel Partners India, RB Investments",Private Equity,49.0
,JETSETGO,Private Jet Bookings Marketplace,Unknown,Bangalore,Puneet Dalmia,Private Equity,0.0
,CABSGURU,Cab search Comparison & Booking platform,Unknown,New Delhi,Prashanth Ranganathan,Seed Funding,2.8
,WHOOP,Performance Optimization Platform for athletes,Unknown,Boston,Infosys,Private Equity,42.0
,BOOKEVENTZ,Event Venue Booking Platform,Unknown,Mumbai,"Mumbai Angels, Singapore Angel Network, Zishaan Hayath",Seed Funding,0.0
,DEAL STREET ASIA,Digital Media Platform,Unknown,Singapore,"Vijay Shekhar Sharma, Singapore Angels Network",Seed Funding,0.0
,STREAMOID,visual search and discovery platform,Unknown,Bangalore / Palo Alto,Undisclosed,Seed Funding,14.0
,HOUSEJOY,Home services marketplace,Unknown,Bangalore,"Amazon, Vertex Ventures, Qualcomm, Ru-Net Technology Partners, Matrix Partners",Private Equity,315.0
,BLUEBIRCH,End to End reverse logistics Solution platform,Unknown,Bangalore,"Chicago Capital Ventures, Sanjay Mehta, Others",Seed Funding,28.0
,MERADOCTOR,Virtual Health consultation app,Unknown,Mumbai,Unilazer,Private Equity,16.8
,STAGE 3,Online Renting platform,Unknown,New Delhi,"Nisha Sharma, Puneet Dalmia, Balaji Prabhakar",Seed Funding,0.0
,RIVIGO,Logistics Services Provider,Unknown,Gurgaon,SAIF Partners and others,Private Equity,420.0
,SPRINGBOARD,Data Science & UX design Learning platform,Unknown,Bangalore,"Allen Blue, John Katzman, Naveen Tewari, Kartik Hosanagar, Kashyap Deorah, 500 Startups, Blue Fog Capital",Seed Funding,23.8
,EATFRESH,Online marketplace for Chef Meals,Unknown,Bangalore,Kalaari Capital,Private Equity,0.0
,AMPERE VEHICLES,Electric Bike Manufacturers,Unknown,Coimbatore,Kris Gopalakrishnan & Others,Seed Funding,16.8
,FOCUS DIGIT,ECommerce platform solutions,Unknown,New Delhi,Turning Ideas,Seed Funding,0.0
,THE NEWS MINUTE,Online Media Publication,Unknown,Bangalore,Quintillion Media,Seed Funding,0.0
,CBREX,International Hiring Platform,Unknown,Mumbai / NY,"Prahlad Rao, Sundara Rajan, Vikram Chachra",Seed Funding,2.8
,TRUCKMANDI,Logistics Service Provider Marketplace,Unknown,New Delhi,"Ritesh Dwivedy, Ramakant Sharma, Mount Nathan Advisors",Private Equity,28.0
,PEPPERTAP,Hyperlocal\\xc2\\xa0 Grocery Delivery Service,Unknown,Gurgaon,Innoven Capital,Private Equity,56.0
,KOOH SPORTS,Sports Education Platform,Unknown,Mumbai,"TCS, HDFC, Faering Capital, Elevate Sports",Private Equity,28.0
,RENTONGO,"Bike, Appliances Renting marketplace",Unknown,Bangalore,"Anand Chandrasekaran, Rajesh Sawhney, Kalpana Tatavarti, Shivanandan Pare",Seed Funding,0.0
,INDUSTRYBUYING,Online Marketplace for Industrial Goods,Unknown,New Delhi,"Murugappa Group, TVS Group, Vellayan Subbiah, Arathi Krishna, Arun Venkatachalam",Seed Funding,0.0
,ZAPR,Reward points mobile app,Unknown,Gurgaon,Dinesh Agarwal,Seed Funding,0.0
,LATESTONE,Mobile accessories online store,Unknown,Hyderabad,Palred Technologies Ltd,Private Equity,42.0
,PLANETGOGO,Content Discovery & reward points platform,Unknown,Gurgaon,HT Digital Media Holdings Ltd,Seed Funding,0.0
,ARYA.AI,Artificial Intelligence platform,Unknown,Mumbai,"YourNest Angel Fund, Venture Nursery",Private Equity,10.5
,DOCTOR INSTA,Medical Consultation & Doctor appointment booking platform,Unknown,Gurgaon,"Rishi Parti, BrahmaX Ventures",Private Equity,7.0
,MOBIEFIT,Mobile Fitness App,Unknown,Goa,Medi Assist,Private Equity,14.0
,LAFALAFA,"Digital Coupons, Deal & Cashback aggregator app",Unknown,Mumbai,Vectr Ventures,Private Equity,0.0
,MECH MOCHA,Mobile Game development & Design platform,Unknown,Bangalore,"Blume Ventures, Flipkart",Seed Funding,14.0
,SHOTANG,B2B eCommerce Marketplace,Unknown,Bangalore,"Exfinity Venture Partners, Unitus Impact Livelihoods Fund",Private Equity,70.0
,CITYFURNISH,Furniture and appliances rental platform,Unknown,Gurgaon,Jitendra Gupta,Seed Funding,0.0
,BLACK WHITE ORANGE,B2B Merchandize platform,Unknown,Mumbai,Collaborative Licensing Ventures LLP,Seed Funding,4.242
,KOLABRO,Real Estate focused Tech platform,Unknown,Gurgaon,"Umang Kumar, Ruchir Arora & others",Seed Funding,0.0
,CANVERA,Photographer Online search & booking platform,Unknown,Bangalore,Info Edge (India) Ltd,Private Equity,30.8
,TOWN ESSENTIALS,Grocery Delivery platform,Unknown,Bangalore,"Sharad Hegde, Girish Reddy, Siddharth Patil, Shrikant Patil",Seed Funding,14.0
,BUMPER,Mobile Car Servicing appointment app,Unknown,Bangalore,SAIF Partners,Seed Funding,7.0
,HOTIFY,New Curation Mobile App,Unknown,Bangalore,Mahavir Pratap Sharma,Seed Funding,2.1
,MOBIKWIK,Mobile Wallet,Unknown,Gurgaon,"Sequoia Capital, Tree Line Asia, Innoven Capital",Private Equity,92.4
,INTELLIGENT INTERFACES,Interface development platform for Government officials,Unknown,Bangalore,Yuvraj Singh,Seed Funding,0.0
2015-02-11,TWIGLY,Online Food Ordering & Delivery platform,Unknown,Gurgaon,"Amit Gupta, Sahil Barua, Mukul Singhal, Tracxn Labs",Seed Funding,2.8
2015-02-11,CITYFLO,Bus Aggregation and rental mobile app,Unknown,Mumbai,IDG Ventures,Seed Funding,10.5
2015-03-11,FINDYAHAN,hyperlocal online Services platform,Unknown,Noida,Times Group Brand Capital,Private Equity,0.0
2015-03-11,SABSE,WiFi \xe2\x80\x93 first Cloud communication platform,Unknown,Mumbai,Ratan Tata,Private Equity,0.0
2015-03-11,POKKT,Alternate Mobile Monetization platform,Unknown,Mumbai,"Segnel Venture, Shinji Kimura, Sundar Chanrai, JAFCO Asia, SingTel\\xe2\\x80\\x99s Innov8, Jungle Ventures, K Ganesh",Private Equity,70.0
2015-03-11,OIBANIT,Online Food Ordering Marketplace,Unknown,Vadodara,"Varun Ahuja, Anubhav Verma",Seed Funding,2.1
2015-03-11,STUFFED,Quick Service Restaurant & Online Delivery,Unknown,Mumbai,Riqueza Capital,Seed Funding,5.39
2015-03-11,DEYOR ROOMS,Budget Hotels Aggregator,Unknown,New Delhi,Dheeraj Jain & Others,Seed Funding,7.0
2015-03-11,BIDGELY,Efficient Energy Management platform,Unknown,USA/India,"Constellation Technology Ventures (Exelon Corporation), E.ON, RWE, Khosla Ventures",Private Equity,232.4
2015-04-11,SHIRSA LABS,Digital Intelligent learning platform,Unknown,Mumbai,ah! Ventures,Seed Funding,3.5
2015-04-11,PAYTUNES,Voice Call incentivization mobile app,Unknown,New Delhi,CIO Angel Network,Seed Funding,0.0
2015-04-11,YOURDOST,Online Counselling and psychological support platform,Unknown,Gwalior,"Phanindra Sama, Aprameya Radhakrishna, Aneesh Reddy, Neeraj Jawalkar, Sanjay Anandaram, Pavan Ongole, Venk Krishnan",Seed Funding,5.6
2015-05-11,BOOKMYBAI,Domestic Help Aggregation platform,Unknown,Mumbai,Vineel Nalla & Others,Seed Funding,2.1
2015-05-11,MYINDIANSTAY,Home Stay & room rentals platform,Unknown,Goa,Undisclosed investors,Seed Funding,2.8
2015-05-11,BOBBLE,Selfie Mobile App,Unknown,New Delhi,SAIF Partners & others,Private Equity,0.0
2015-06-11,REPUP,Online Reputation Management Platform,Unknown,Gurgaon,Indian Angel Network,Seed Funding,0.0
2015-06-11,SATVACART,Online Grocery platform,Unknown,Gurgaon,Undisclosed HNIs,Private Equity,25.2
2015-06-11,POPXO,Online content platform for women,Unknown,New Delhi,"IDG Ventures India, Kalaari Capital, 500 Startups",Private Equity,28.0
2015-06-11,SPARESHUB,Online Vehicle Spare Parts etailer,Unknown,Pune,"Hyderabad Angels, M&S Partners",Seed Funding,6.44
2015-06-11,EXPLARA,Event Ticketing platform,Unknown,Pune,"Hyderabad Angels, Singapore Angel Network, Ness Wadia",Private Equity,6.86
2015-06-11,SOOTHE HEALTHCARE,affordable Personal Healthcare Products,Unknown,Noida,Saina Nehwal,Seed Funding,0.0
2015-06-11,YUVI HOSPITALITY,Premium dining Lounges & restaurants,Unknown,Gurgaon,Chandralekha Construction Pvt. Ltd.,Private Equity,210.0
2015-09-11,APPVIRALITY,Mobile Growth Hacking\\nPlatform,Unknown,Hyderabad,"Rajan Anandan, Mike Galgon, Ravi Gururaj, Ashim Mehra,\\xc2\\xa0 Mohit Saxena, Internet Group, TNN Capital and others",Seed Funding,7.0
2015-09-11,ISTAR SKILL DEVELOPMENT,Skill Training Startup,Unknown,Bangalore,"Michael & Susan Dell Foundation, Unitus Seed Fund",Private Equity,21.0
2015-09-11,BIGSTYLIST,Beauty and Wellness Marketplace,Unknown,Mumbai,Info Edge,Private Equity,14.0
2015-09-11,ZILINGO,Marketplace App for Bangkok,Unknown,Bangalore/ Bangkok,"Sequoia India, BEENEXT Ventures, Kunal Shah & Sandeep Tandon",Private Equity,26.6
2015-09-11,DIDI,On-demand Maids Service Provider,Unknown,Mumbai,"Jozef Bardik, Leo Wang Sangeeth Ram",Seed Funding,2.1
2015-09-11,SKOOV,eCommerce Product Search Engine,Unknown,Mumbai,undisclosed investor,Seed Funding,2.1
2015-10-11,CHEFS BASKET,Ready to cook packaged Foods,Unknown,Mumbai,"SAIF Partners, Haresh Chawla",Private Equity,84.0
